Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
397,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,26-339,1994,6.8,2,8,4,50.0,1.17,0.58,0.00,0.00,29.9,4,2,2,1.8,0.3,0.04,+0.2,-0.3,Matches
398,Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,25-280,1995,4.1,1,13,7,53.8,3.15,1.69,0.08,0.14,14.1,0,0,0,2.0,2.0,0.15,-1.0,-1.0,Matches
399,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,26-275,1995,3.4,0,1,0,0.0,0.29,0.00,0.00,,9.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
400,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Brighton,30-314,1990,2.7,1,4,3,75.0,1.51,1.13,0.25,0.33,15.2,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Matches
401,Timo Werner\Timo-Werner,de GER,FW,Chelsea,25-214,1996,3.3,1,10,5,50.0,2.99,1.50,0.10,0.20,13.0,0,0,0,2.2,2.2,0.22,-1.2,-1.2,Matches
402,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,31-188,1990,6.0,0,4,1,25.0,0.67,0.17,0.00,0.00,19.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
403,Ben White\Ben-White,eng ENG,DF,Arsenal,23-363,1997,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
404,Brandon Williams\Brandon-Williams,eng ENG,DF,Norwich City,21-033,2000,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
405,Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,22-047,1999,5.1,0,6,1,16.7,1.17,0.19,0.00,0.00,18.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
406,Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,29-221,1992,2.7,2,10,4,40.0,3.72,1.49,0.20,0.50,11.7,0,0,0,1.8,1.8,0.18,+0.2,+0.2,Matches
407,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,25-246,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
408,Yoane Wissa\Yoane-Wissa,cd COD,FWMF,Brentford,25-033,1996,0.7,2,3,2,66.7,4.43,2.95,0.67,1.00,9.0,0,0,0,0.3,0.3,0.11,+1.7,+1.7,Matches
409,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,29-303,1991,6.5,1,15,4,26.7,2.29,0.61,0.07,0.25,12.6,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Matches
410,Freddie Woodman\Freddie-Woodman,eng ENG,GK,Newcastle Utd,24-216,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
411,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,29-009,1992,3.3,0,2,0,0.0,0.61,0.00,0.00,,20.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
412,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,31-348,1989,0.4,0,2,0,0.0,4.62,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
413,Ashley Young\Ashley-Young,eng ENG,DFMF,Aston Villa,36-089,1985,3.0,0,1,0,0.0,0.34,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
414,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,28-330,1992,7.0,2,10,2,20.0,1.43,0.29,0.00,0.00,21.3,0,2,2,2.1,0.6,0.06,-0.1,-0.6,Matches
415,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,24-295,1996,0.6,0,1,0,0.0,1.58,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
416,Hakim Ziyech\Hakim-Ziyech,ma MAR,MF,Chelsea,28-201,1993,1.1,0,3,1,33.3,2.73,0.91,0.00,0.00,24.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
417,Kurt Zouma\Kurt-Zouma,fr FRA,DF,West Ham,26-344,1994,3.0,0,1,0,0.0,0.33,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
418,Martin Ødegaard\Martin-Odegaard,no NOR,MF,Arsenal,22-293,1998,4.5,1,2,1,50.0,0.45,0.22,0.50,1.00,26.8,1,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
